ScientificName;VernacularName;UUID
Lanius senator Linnaeus, 1758;Rotkopfwürger;5bf86924-8f66-408c-897d-d51d7ea55c73
Milvus milvus (Linnaeus, 1758);Rotmilan;4a35b6b4-b520-4a02-b271-ec8c678360cd
Tringa totanus (Linnaeus, 1758);Rotschenkel;f5b80e07-e73b-48e0-aec2-180b8186d437
Callonetta leucophrys (Vieillot, 1816);Rotschulterente;bb721d2e-2704-4d21-8243-2b6641a2ed93
Corvus frugilegus Linnaeus, 1758;Saatkrähe;d52e962b-9464-4e0c-8f8d-326e1f067dff
Recurvirostra avosetta Linnaeus, 1758;Säbelschnäbler;fb10e4d4-c0fe-438a-8234-5b7501d279b9
Charadrius hiaticula Linnaeus, 1758;Sandregenpfeifer;5518850b-2e6a-4cf6-b0fd-0747cc9221fa
Aquila clanga Pallas, 1811;Schelladler;d27d3bc1-322d-4c4a-9eaa-dc4398d283a8
Bucephala clangula (Linnaeus, 1758);Schellente;48130819-eef0-436d-be7b-64a14387397c
Acrocephalus schoenobaenus (Linnaeus, 1758);Schilfrohrsänger;0af73277-d8f5-4dee-8ed3-485c20c7985c
Locustella fluviatilis (Wolf, 1810);Schlagschwirl;1ebfa4cd-907d-402c-bc4e-5c4894e79121
Circaetus gallicus (J.F. Gmelin, 1788);Schlangenadler;67f29bc0-1137-4c45-bbdf-c8d9350d0aa0
Tyto alba (Scopoli, 1769);Schleiereule;7c04d1f1-4938-418b-80f1-fc34856ae185
Anas strepera Linnaeus, 1758;Schnatterente;b7820bd0-8f62-4b45-8c85-c18c0e259c41
Anser caerulescens (Linnaeus, 1758);Schneegans;ca345e17-3b4a-43e3-8a60-cde12ddb027c
Montifringilla nivalis (Linnaeus, 1766);Schneesperling;ae99d185-620a-4737-af2d-2b3d7e6cc8d9
Aquila pomarina C.L. Brehm, 1831;Schreiadler;b53e0ce4-a658-4300-b7b9-36c05ef0c8b8
Anser cygnoides (Linnaeus, 1758);Schwanengans;877a59fb-b926-40f2-ac8c-4bf764ceb94c
Aegithalos caudatus (Linnaeus, 1758);Schwanzmeise;1021a7c9-70ee-44e7-99cf-fd1ce5247973
Podiceps nigricollis C.L. Brehm, 1831;Schwarzhalstaucher;87937627-69c1-4cfc-b0cd-7ef670982a95
Saxicola rubicola (Linnaeus, 1766);Schwarzkehlchen;fc911477-1803-48a2-acf4-220b246c4df3
Larus melanocephalus Temminck, 1820;Schwarzkopfmöwe;3a951dc6-904a-4b74-ab57-a9791b2e1da9
Milvus migrans (Boddaert, 1783);Schwarzmilan;add1d3ab-03a0-4c22-8e1b-664fa4f79e9c
Cygnus atratus (Latham, 1790);Schwarzschwan;05334e50-1886-4b7e-ad44-d7f5e6c28d31
Dryocopus martius (Linnaeus, 1758);Schwarzspecht;a146d4d1-b96c-4042-b14b-e07a24f1185a
Lanius minor J.F. Gmelin, 1788;Schwarzstirnwürger;98efe2d0-7bc2-4cf7-bd2d-b2e62c727b65
Ciconia nigra (Linnaeus, 1758);Schwarzstorch;7c65ba37-9032-47b9-8b0e-f5e15882abf2
Haliaeetus albicilla (Linnaeus, 1758);Seeadler;b78e20e3-e45b-4b93-b05a-2ced6ab0d554
